CAMPUS,DIVISION,CRN,SUBJ,CRSE,TITLE,XLST,START DATE,END DATE,LOCATION,DAYS TIME,SCHD,INST METHOD,INSTRUCTOR,CRHRS,QUOTA,ENRL,AVAIL,FTES,STATUS,TOTAL CAMPUS FTES,TOTAL DIVISION FTES,POT
Dunkirk,Continuing Education,5340,CEJR,7460,Grade D Water Treatment Cert.,,20-Oct,22-Oct,OFFC TBD,..TWR.. 08:00 AM-03:00 PM,CEC,000,STAFF,,20,,20,,A,,,E
Dunkirk,Continuing Education,5338,CEJR,7483,Grade II A,,21-Sep,2-Oct,OFFC TBD,.MTWRF. 09:00 AM-03:30 PM,CEC,000,STAFF,,20,,20,,A,,,E
Dunkirk,Continuing Education,5339,CEJR,7484,Grade II B,,21-Sep,25-Sep,OFFC TBD,.MTWRF. 08:00 AM-03:30 PM,CEC,000,STAFF,,20,,20,,A,,,E
Jamestown,*Arts/Humanities/Health Sci,3817,CERN,2510,NUR 2510 Review-NCLEX Success,,24-Aug,18-Dec,SHEL 334A,.M..... 09:30 AM-10:30 AM,TU,000,"Bablak, Debra",,60,,60,,A,,,1
Jamestown,Arts/Humanities/Social Science,3892,ANT,1510,Human Origins and Evolution,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Bessette, Shannon",3,26,,26,,A,,,1
Jamestown,Arts/Humanities/Social Science,3893,ANT,1520,Intro to Cultural Anthropology,,24-Aug,18-Dec,HULT 203,..T.R.. 11:00 AM-12:15 PM,LE,000,"Frerichs, Jeanne",3,26,,26,,A,,,1
Jamestown,Arts/Humanities/Social Science,3894,ANT,1520,Intro to Cultural Anthropology,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Lambert, Arnaud",3,26,,26,,A,,,1
Jamestown,Arts/Humanities/Social Science,3895,ANT,1520,Intro to Cultural Anthropology,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Lambert, Arnaud",3,26,,26,,A,,,1
Jamestown,Arts/Humanities/Social Science,4485,ANT,1520,Intro to Cultural Anthropology,,24-Aug,18-Dec,HULT 249,.M.W... 01:30 PM-02:45 PM,LE,000,"Shoup, Glen",3,20,,20,,A,,,1
Jamestown,Arts/Humanities/Social Science,3896,ANT,1530,Anthropology of  Supernatural,252,24-Aug,18-Dec,SHEL 121,.M.W... 11:00 AM-12:15 PM,LE,006,"Scott, Chelsie",3,27,,27,,A,,,1
Jamestown,Arts/Humanities/Social Science,4486,ANT,2550,Intro. to Dis/Ability Studies,162,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Bessette, Shannon",3,13,,13,,A,,,1
Jamestown,Arts/Humanities/Social Science,5163,ANT,2590,"Sex, Sexuality, and Gender",401,24-Aug,18-Dec,HULT 204,.M.W... 01:30 PM-02:45 PM,LE,006,"Scott, Chelsie",3,26,,26,,A,,,1
Jamestown,Arts/Humanities/Social Science,4495,ART,1500,Art & Design Appreciation,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LL,002,"Harvey Willms, Jaymee",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4491,ART,1510,Drawing I,251,24-Aug,18-Dec,ARTW UP,.M.W... 03:45 PM-05:40 PM,LL,000,"Jeffery, Nathan",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4494,ART,1510,Drawing I,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LL,002,"Renko, Kelsey",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4861,ART,1510,Drawing I,,4-Sep,20-Jan,HSNYJM MAP,....... TBD-TBD,LL,000,"Johnson, Kevin",3,50,,50,,A,,,HS1
Jamestown,Arts/Humanities/Social Science,5238,ART,1510,Drawing I,,4-Sep,14-Jun,HSNYJM CASS,....... TBD-TBD,LL,000,"Shields, Nicole",3,50,,50,,A,,,HS
Jamestown,Arts/Humanities/Social Science,5247,ART,1510,Drawing I,,4-Sep,20-Jan,HSNYJM CLY,....... TBD-TBD,LL,000,"Mayott, Cheryl",3,50,,50,,A,,,HS1
Jamestown,Arts/Humanities/Social Science,4474,ART,1530,2-D Design and Color,,24-Aug,18-Dec,ARTW UP,.M.W... 10:15 AM-12:10 PM,LL,000,"Jeffery, Nathan",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4473,ART,1540,3-D Design/Concept/Materials,,24-Aug,18-Dec,ARTW UP,..T.R.. 10:15 AM-12:10 PM,LL,000,"Makovitch, Thomas",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4496,ART,1550,Art in Culture I,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Shane, Robert",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4497,ART,1560,Art in Culture II,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LE,002,"Shane, Robert",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4488,ART,1590,Ceramics I,,24-Aug,18-Dec,ARTW DOWN,..T.R.. 03:45 PM-05:40 PM,LL,000,"Turner, Brenna",3,17,,17,,A,,,1
Jamestown,Arts/Humanities/Social Science,4697,ART,1590,Ceramics I,,4-Sep,14-Jun,HSNYJM CASS,....... TBD-TBD,LL,000,"Broadhead, Joy",3,50,,50,,A,,,HS
Jamestown,Arts/Humanities/Social Science,4743,ART,1590,Ceramics I,,4-Sep,14-Jun,HSNYJM DUN,....... TBD-TBD,LL,000,"Korzenski, Jodie",3,50,,50,,A,,,HS
Jamestown,Arts/Humanities/Social Science,4531,ART,1620,Studio Projects-Drawing I,251,24-Aug,18-Dec,ARTW UP,.M.W... 03:45 PM-05:40 PM,LL,000,"Jeffery, Nathan",3,3,,3,,A,,,1
Jamestown,Arts/Humanities/Social Science,4476,ART,1670,Photo I: Digital Photography,,24-Aug,18-Dec,ARTW DOWN,..T.R.. 01:30 PM-03:25 PM,LL,000,"Kirsch, Mark",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,5287,ART,1670,Photo I: Digital Photography,,4-Sep,20-Jan,HSNYJM SWC,....... TBD-TBD,LL,000,"Mitchener, Renee",3,50,,50,,A,,,HS1
Jamestown,Arts/Humanities/Social Science,4487,ART,1730,Graphic Design I,,24-Aug,18-Dec,ARTW DOWN,..T.R.. 03:45 PM-05:40 PM,LL,000,"Jeffery, Nathan",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4493,ART,1730,Graphic Design I,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LL,002,"Stinely, Alison",3,20,,20,,A,,,1
Jamestown,Arts/Humanities/Social Science,4698,ART,1730,Graphic Design I,,4-Sep,14-Jun,HSNYJM CASS,....... TBD-TBD,LL,000,"Broadhead, Joy",3,50,,50,,A,,,HS
Jamestown,Arts/Humanities/Social Science,4478,ART,1740,Typography and Layout,,24-Aug,18-Dec,ONLN ONLN,....... TBD-TBD,LL,002,"Bachorik, Alison",3,18,,18,,A,,,1
Jamestown,Arts/Humanities/Social Science,4475,ART,2510,Painting I,227,24-Aug,18-Dec,ARTW UP,.M.W... 01:30 PM-03:25 PM,LL,000,"Jeffery, Nathan",3,15,,15,,A,,,1
Jamestown,Arts/Humanities/Social Science,4520,ART,2621,Studio Projects-Painting I,227,24-Aug,18-Dec,ARTW UP,.M.W... 01:30 PM-03:25 PM,LL,000,"Jeffery, Nathan",1,3,,3,,A,,,1
Jamestown,Arts/Humanities/Social Science,4047,ASL,1510,Introductory Sign Language I,,24-Aug,18-Dec,SHEL 110,.M.W... 04:00 PM-05:50 PM,LL,000,"Krueger, Janelle",3,20,,20,,A,,,1
